municipio_codigo,municipio_uf,municipio_nome
1502152,PA,Canaã dos Carajás
5200050,GO,Abadia de Goiás
3100104,MG,Abadia dos Dourados
5200100,GO,Abadiânia
3100203,MG,Abaeté
1500107,PA,Abaetetuba
2300101,CE,Abaiara
2900108,BA,Abaíra
2900207,BA,Abaré
4100103,PR,Abatiá
4200051,SC,Abdon Batista
1500131,PA,Abel Figueiredo
4200101,SC,Abelardo Luz
3100302,MG,Abre Campo
2600054,PE,Abreu e Lima
1700251,TO,Abreulândia
3100401,MG,Acaiaca
2100055,MA,Açailândia
2900306,BA,Acajutiba
1500206,PA,Acará
2300150,CE,Acarape
2300200,CE,Acaraú
2400109,RN,Acari
2200053,PI,Acauã
4300034,RS,Aceguá
2300309,CE,Acopiara
5100102,MT,Acorizal
1200013,AC,Acrelândia
5200134,GO,Acreúna
2400208,RN,Açu
3100500,MG,Açucena
3500105,SP,Adamantina
5200159,GO,Adelândia
3500204,SP,Adolfo
4100202,PR,Adrianópolis
2900355,BA,Adustina
2600104,PE,Afogados da Ingazeira
2400307,RN,Afonso Bezerra
3200102,ES,Afonso Cláudio
2100105,MA,Afonso Cunha
2600203,PE,Afrânio
1500305,PA,Afuá
2600302,PE,Agrestina
2200103,PI,Agricolândia
4200200,SC,Agrolândia
4200309,SC,Agronômica
1500347,PA,Água Azul do Norte
3100609,MG,Água Boa
5100201,MT,Água Boa
2700102,AL,Água Branca
2500106,PB,Água Branca
2200202,PI,Água Branca
5000203,MS,Água Clara
3100708,MG,Água Comprida
4200408,SC,Água Doce
2100154,MA,Água Doce do Maranhão
3200169,ES,Água Doce do Norte
2900405,BA,Água Fria
5200175,GO,Água Fria de Goiás
5200209,GO,Água Limpa
2400406,RN,Água Nova
2600401,PE,Água Preta
4300059,RS,Água Santa
3500303,SP,Aguaí
3100807,MG,Aguanil
2600500,PE,Águas Belas
3500402,SP,Águas da Prata
4200507,SC,Águas de Chapecó
3500501,SP,Águas de Lindóia
3500550,SP,Águas de Santa Bárbara
3500600,SP,Águas de São Pedro
3100906,MG,Águas Formosas
4200556,SC,Águas Frias
5200258,GO,Águas Lindas de Goiás
4200606,SC,Águas Mornas
3101003,MG,Águas Vermelhas
4300109,RS,Agudo
3500709,SP,Agudos
4100301,PR,Agudos do Sul
3200136,ES,Águia Branca
2500205,PB,Aguiar
1700301,TO,Aguiarnópolis
3101102,MG,Aimorés
2900603,BA,Aiquara
2300408,CE,Aiuaba
3101201,MG,Aiuruoca
4300208,RS,Ajuricaba
3101300,MG,Alagoa
2500304,PB,Alagoa Grande
2500403,PB,Alagoa Nova
2500502,PB,Alagoinha
2600609,PE,Alagoinha
2200251,PI,Alagoinha do Piauí
2900702,BA,Alagoinhas
3500758,SP,Alambari
3101409,MG,Albertina
2100204,MA,Alcântara
2300507,CE,Alcântaras
2500536,PB,Alcantil
5000252,MS,Alcinópolis
2900801,BA,Alcobaça
2100303,MA,Aldeias Altas
4300307,RS,Alecrim
3200201,ES,Alegre
4300406,RS,Alegrete
2200277,PI,Alegrete do Piauí
4300455,RS,Alegria
3101508,MG,Além Paraíba
1500404,PA,Alenquer
2400505,RN,Alexandria
5200308,GO,Alexânia
3101607,MG,Alfenas
3200300,ES,Alfredo Chaves
3500808,SP,Alfredo Marcondes
3101631,MG,Alfredo Vasconcelos
4200705,SC,Alfredo Wagner
2500577,PB,Algodão de Jandaíra
2500601,PB,Alhandra
2600708,PE,Aliança
1700350,TO,Aliança do Tocantins
2900900,BA,Almadina
1700400,TO,Almas
1500503,PA,Almeirim
3101706,MG,Almenara
2400604,RN,Almino Afonso
4100400,PR,Almirante Tamandaré
4300471,RS,Almirante Tamandaré do Sul
5200506,GO,Aloândia
3101805,MG,Alpercata
4300505,RS,Alpestre
3101904,MG,Alpinópolis
5100250,MT,Alta Floresta
1100015,RO,Alta Floresta D'Oeste
3500907,SP,Altair
1500602,PA,Altamira
2100402,MA,Altamira do Maranhão
4100459,PR,Altamira do Paraná
2300606,CE,Altaneira
3102001,MG,Alterosa
2600807,PE,Altinho
3501004,SP,Altinópolis
1400050,RR,Alto Alegre
4300554,RS,Alto Alegre
3501103,SP,Alto Alegre
2100436,MA,Alto Alegre do Maranhão
2100477,MA,Alto Alegre do Pindaré
1100379,RO,Alto Alegre dos Parecis
5100300,MT,Alto Araguaia
4200754,SC,Alto Bela Vista
5100359,MT,Alto Boa Vista
3102050,MG,Alto Caparaó
2400703,RN,Alto do Rodrigues
4300570,RS,Alto Feliz
5100409,MT,Alto Garças
5200555,GO,Alto Horizonte
3153509,MG,Alto Jequitibá
2200301,PI,Alto Longá
5100508,MT,Alto Paraguai
4128625,PR,Alto Paraíso
1100403,RO,Alto Paraíso
5200605,GO,Alto Paraíso de Goiás
4100608,PR,Alto Paraná
2100501,MA,Alto Parnaíba
4100707,PR,Alto Piquiri
3102100,MG,Alto Rio Doce
3200359,ES,Alto Rio Novo
2300705,CE,Alto Santo
5100607,MT,Alto Taquari
4100509,PR,Altônia
2200400,PI,Altos
3501152,SP,Alumínio
1300029,AM,Alvarães
3102209,MG,Alvarenga
3501202,SP,Álvares Florence
3501301,SP,Álvares Machado
3501400,SP,Álvaro de Carvalho
3501509,SP,Alvinlândia
3102308,MG,Alvinópolis
4300604,RS,Alvorada
1700707,TO,Alvorada
1100346,RO,Alvorada D'Oeste
3102407,MG,Alvorada de Minas
2200459,PI,Alvorada do Gurguéia
5200803,GO,Alvorada do Norte
4100806,PR,Alvorada do Sul
1400027,RR,Amajari
5000609,MS,Amambai
1600105,AP,Amapá
2100550,MA,Amapá do Maranhão
4100905,PR,Amaporã
2600906,PE,Amaraji
4300638,RS,Amaral Ferrador
5200829,GO,Amaralina
2200509,PI,Amarante
2100600,MA,Amarante do Maranhão
2901007,BA,Amargosa
1300060,AM,Amaturá
2901106,BA,Amélia Rodrigues
2901155,BA,América Dourada
3501608,SP,Americana
5200852,GO,Americano do Brasil
3501707,SP,Américo Brasiliense
3501806,SP,Américo de Campos
4300646,RS,Ametista do Sul
2300754,CE,Amontada
5200902,GO,Amorinópolis
2500734,PB,Amparo
3501905,SP,Amparo
2800100,SE,Amparo de São Francisco
3102506,MG,Amparo do Serra
4101002,PR,Ampére
2700201,AL,Anadia
2901205,BA,Anagé
4101051,PR,Anahy
1500701,PA,Anajás
2100709,MA,Anajatuba
3502002,SP,Analândia
1300086,AM,Anamã
1701002,TO,Ananás
1500800,PA,Ananindeua
5201108,GO,Anápolis
1500859,PA,Anapu
2100808,MA,Anapurus
5000708,MS,Anastácio
5000807,MS,Anaurilândia
3200409,ES,Anchieta
4200804,SC,Anchieta
2901304,BA,Andaraí
4101101,PR,Andirá
2901353,BA,Andorinha
3102605,MG,Andradas
3502101,SP,Andradina
4300661,RS,André da Rocha
3102803,MG,Andrelândia
3502200,SP,Angatuba
3102852,MG,Angelândia
5000856,MS,Angélica
2601003,PE,Angelim
4200903,SC,Angelina
2901403,BA,Angical
2200608,PI,Angical do Piauí
1701051,TO,Angico
2400802,RN,Angicos
3300100,RJ,Angra dos Reis
2901502,BA,Anguera
4101150,PR,Ângulo
5201207,GO,Anhanguera
3502309,SP,Anhembi
3502408,SP,Anhumas
5201306,GO,Anicuns
2200707,PI,Anísio de Abreu
4201000,SC,Anita Garibaldi
4201109,SC,Anitápolis
1300102,AM,Anori
4300703,RS,Anta Gorda
2901601,BA,Antas
4101200,PR,Antonina
2300804,CE,Antonina do Norte
2200806,PI,Antônio Almeida
2901700,BA,Antônio Cardoso
3102902,MG,Antônio Carlos
4201208,SC,Antônio Carlos
3103009,MG,Antônio Dias
2901809,BA,Antônio Gonçalves
5000906,MS,Antônio João
2400901,RN,Antônio Martins
4101309,PR,Antônio Olinto
4300802,RS,Antônio Prado
3103108,MG,Antônio Prado de Minas
2500775,PB,Aparecida
3502507,SP,Aparecida
3502606,SP,Aparecida d'Oeste
5201405,GO,Aparecida de Goiânia
5201454,GO,Aparecida do Rio Doce
1701101,TO,Aparecida do Rio Negro
5001003,MS,Aparecida do Taboado
3300159,RJ,Aperibé
3200508,ES,Apiacá
5100805,MT,Apiacás
3502705,SP,Apiaí
2100832,MA,Apicum-Açu
4201257,SC,Apiúna
2401008,RN,Apodi
2901908,BA,Aporá
5201504,GO,Aporé
2901957,BA,Apuarema
4101408,PR,Apucarana
1300144,AM,Apuí
2300903,CE,Apuiarés
2800209,SE,Aquidabã
5001102,MS,Aquidauana
2301000,CE,Aquiraz
4201273,SC,Arabutã
2500809,PB,Araçagi
3103207,MG,Araçaí
2800308,SE,Aracaju
3502754,SP,Araçariguama
2902054,BA,Araçás
2301109,CE,Aracati
2902005,BA,Aracatu
3502804,SP,Araçatuba
2902104,BA,Araci
3103306,MG,Aracitaba
2301208,CE,Aracoiaba
2601052,PE,Araçoiaba
3502903,SP,Araçoiaba da Serra
3200607,ES,Aracruz
5201603,GO,Araçu
3103405,MG,Araçuaí
5201702,GO,Aragarças
5201801,GO,Aragoiânia
1701309,TO,Aragominas
1701903,TO,Araguacema
1702000,TO,Araguaçu
5101001,MT,Araguaiana
1702109,TO,Araguaína
5101209,MT,Araguainha
2100873,MA,Araguanã
1702158,TO,Araguanã
5202155,GO,Araguapaz
3103504,MG,Araguari
1702208,TO,Araguatins
2100907,MA,Araioses
5001243,MS,Aral Moreira
2902203,BA,Aramari
4300851,RS,Arambaré
2100956,MA,Arame
3503000,SP,Aramina
3503109,SP,Arandu
3103603,MG,Arantina
3503158,SP,Arapeí
2700300,AL,Arapiraca
1702307,TO,Arapoema
3103702,MG,Araponga
4101507,PR,Arapongas
3103751,MG,Araporã
4101606,PR,Arapoti
3103801,MG,Arapuá
4101655,PR,Arapuã
5101258,MT,Araputanga
4201307,SC,Araquari
2500908,PB,Arara
4201406,SC,Araranguá
3503208,SP,Araraquara
3503307,SP,Araras
2301257,CE,Ararendá
2101004,MA,Arari
4300877,RS,Araricá
2301307,CE,Araripe
2601102,PE,Araripina
3300209,RJ,Araruama
2501005,PB,Araruna
4101705,PR,Araruna
2902252,BA,Arataca
4300901,RS,Aratiba
2301406,CE,Aratuba
2902302,BA,Aratuípe
2800407,SE,Arauá
4101804,PR,Araucária
3103900,MG,Araújos
3104007,MG,Araxá
3104106,MG,Arceburgo
3503356,SP,Arco-Íris
3104205,MG,Arcos
2601201,PE,Arcoverde
3104304,MG,Areado
3300225,RJ,Areal
3503406,SP,Arealva
2501104,PB,Areia
2401107,RN,Areia Branca
2800506,SE,Areia Branca
2501153,PB,Areia de Baraúnas
2501203,PB,Areial
3503505,SP,Areias
3503604,SP,Areiópolis
5101308,MT,Arenápolis
5202353,GO,Arenópolis
2401206,RN,Arês
3104403,MG,Argirita
3104452,MG,Aricanduva
3104502,MG,Arinos
5101407,MT,Aripuanã
1100023,RO,Ariquemes
3503703,SP,Ariranha
4101853,PR,Ariranha do Ivaí
3300233,RJ,Armação dos Búzios
4201505,SC,Armazém
2301505,CE,Arneiroz
2200905,PI,Aroazes
2501302,PB,Aroeiras
2200954,PI,Aroeiras do Itaim
2201002,PI,Arraial
3300258,RJ,Arraial do Cabo
1702406,TO,Arraias
4301008,RS,Arroio do Meio
4301073,RS,Arroio do Padre
4301057,RS,Arroio do Sal
4301206,RS,Arroio do Tigre
4301107,RS,Arroio dos Ratos
4301305,RS,Arroio Grande
4201604,SC,Arroio Trinta
3503802,SP,Artur Nogueira
5202502,GO,Aruanã
3503901,SP,Arujá
4201653,SC,Arvoredo
4301404,RS,Arvorezinha
4201703,SC,Ascurra
3503950,SP,Aspásia
4101903,PR,Assaí
2301604,CE,Assaré
3504008,SP,Assis
1200054,AC,Assis Brasil
4102000,PR,Assis Chateaubriand
2501351,PB,Assunção
2201051,PI,Assunção do Piauí
3104601,MG,Astolfo Dutra
4102109,PR,Astorga
2700409,AL,Atalaia
4102208,PR,Atalaia
1300201,AM,Atalaia do Norte
4201802,SC,Atalanta
3104700,MG,Ataléia
3504107,SP,Atibaia
3200706,ES,Atílio Vivacqua
1702554,TO,Augustinópolis
1500909,PA,Augusto Corrêa
3104809,MG,Augusto de Lima
4301503,RS,Augusto Pestana
2401305,RN,Augusto Severo
4301552,RS,Áurea
2902401,BA,Aurelino Leal
3504206,SP,Auriflama
5202601,GO,Aurilândia
2301703,CE,Aurora
4201901,SC,Aurora
1500958,PA,Aurora do Pará
1702703,TO,Aurora do Tocantins
1300300,AM,Autazes
3504305,SP,Avaí
3504404,SP,Avanhandava
3504503,SP,Avaré
1501006,PA,Aveiro
2201101,PI,Avelino Lopes
5202809,GO,Avelinópolis
2101103,MA,Axixá
1702901,TO,Axixá do Tocantins
1703008,TO,Babaçulândia
2101202,MA,Bacabal
2101251,MA,Bacabeira
2101301,MA,Bacuri
2101350,MA,Bacurituba
3504602,SP,Bady Bassitt
3104908,MG,Baependi
4301602,RS,Bagé
1501105,PA,Bagre
2501401,PB,Baía da Traição
2401404,RN,Baía Formosa
2902500,BA,Baianópolis
1501204,PA,Baião
2902609,BA,Baixa Grande
2201150,PI,Baixa Grande do Ribeiro
2301802,CE,Baixio
3200805,ES,Baixo Guandu
3504701,SP,Balbinos
3105004,MG,Baldim
5203104,GO,Baliza
4201950,SC,Balneário Arroio do Silva
4202057,SC,Balneário Barra do Sul
4202008,SC,Balneário Camboriú
4202073,SC,Balneário Gaivota
4212809,SC,Balneário Piçarras
4301636,RS,Balneário Pinhal
4220000,SC,Balneário Rincão
4102307,PR,Balsa Nova
3504800,SP,Bálsamo
2101400,MA,Balsas
3105103,MG,Bambuí
2301851,CE,Banabuiú
3504909,SP,Bananal
2501500,PB,Bananeiras
3105202,MG,Bandeira
3105301,MG,Bandeira do Sul
4202081,SC,Bandeirante
5001508,MS,Bandeirantes
4102406,PR,Bandeirantes
1703057,TO,Bandeirantes do Tocantins
1501253,PA,Bannach
2902658,BA,Banzaê
4301651,RS,Barão
3505005,SP,Barão de Antonina
3105400,MG,Barão de Cocais
4301701,RS,Barão de Cotegipe
2101509,MA,Barão de Grajaú
5101605,MT,Barão de Melgaço
3105509,MG,Barão de Monte Alto
4301750,RS,Barão do Triunfo
2501534,PB,Baraúna
2401453,RN,Baraúna
3105608,MG,Barbacena
2301901,CE,Barbalha
3505104,SP,Barbosa
4102505,PR,Barbosa Ferraz
1501303,PA,Barcarena
2401503,RN,Barcelona
1300409,AM,Barcelos
3505203,SP,Bariri
2902708,BA,Barra
4202099,SC,Barra Bonita
3505302,SP,Barra Bonita
2201176,PI,Barra D'Alcântara
2902807,BA,Barra da Estiva
2601300,PE,Barra de Guabiraba
2501609,PB,Barra de Santa Rosa
2501575,PB,Barra de Santana
2700508,AL,Barra de Santo Antônio
3200904,ES,Barra de São Francisco
2700607,AL,Barra de São Miguel
2501708,PB,Barra de São Miguel
5101704,MT,Barra do Bugres
3505351,SP,Barra do Chapéu
2902906,BA,Barra do Choça
2101608,MA,Barra do Corda
5101803,MT,Barra do Garças
4301859,RS,Barra do Guarita
4102703,PR,Barra do Jacaré
2903003,BA,Barra do Mendes
1703073,TO,Barra do Ouro
3300308,RJ,Barra do Piraí
4301875,RS,Barra do Quaraí
4301909,RS,Barra do Ribeiro
4301925,RS,Barra do Rio Azul
2903102,BA,Barra do Rocha
3505401,SP,Barra do Turvo
2800605,SE,Barra dos Coqueiros
4301958,RS,Barra Funda
3105707,MG,Barra Longa
3300407,RJ,Barra Mansa
4202107,SC,Barra Velha
4102604,PR,Barracão
4301800,RS,Barracão
2201200,PI,Barras
2301950,CE,Barreira
2903201,BA,Barreiras
2201309,PI,Barreiras do Piauí
1300508,AM,Barreirinha
2101707,MA,Barreirinhas
2601409,PE,Barreiros
3505500,SP,Barretos
3505609,SP,Barrinha
2302008,CE,Barro
2903235,BA,Barro Alto
5203203,GO,Barro Alto
2201408,PI,Barro Duro
2903300,BA,Barro Preto
2903276,BA,Barrocas
1703107,TO,Barrolândia
2302057,CE,Barroquinha
4302006,RS,Barros Cassal
3105905,MG,Barroso
3505708,SP,Barueri
3505807,SP,Bastos
5001904,MS,Bataguassu
2700706,AL,Batalha
2201507,PI,Batalha
3505906,SP,Batatais
5002001,MS,Batayporã
2302107,CE,Baturité
3506003,SP,Bauru
2501807,PB,Bayeux
3506102,SP,Bebedouro
2302206,CE,Beberibe
2302305,CE,Bela Cruz
5002100,MS,Bela Vista
4102752,PR,Bela Vista da Caroba
5203302,GO,Bela Vista de Goiás
3106002,MG,Bela Vista de Minas
2101772,MA,Bela Vista do Maranhão
4102802,PR,Bela Vista do Paraíso
2201556,PI,Bela Vista do Piauí
4202131,SC,Bela Vista do Toldo
2101731,MA,Belágua
2700805,AL,Belém
1501402,PA,Belém
2501906,PB,Belém
2601508,PE,Belém de Maria
